LOCATION_ID;Score_A;Risk_A;Score_B;Risk_B;TOTAL;Money_Value
23;0.6;2.508;0.2;0.5;6.68;3.38
6;0.2;0;0.2;0.966;4.83;0.94
6;0.2;0.102;0.2;0.046;0.74;0
6;0.2;0;0.6;6.48;10.8;11.75
6;0.2;0;0.2;0.016;0.08;0
6;0.2;0;0.2;0.166;0.83;2.95
7;0.4;0.44;0.4;2.964;8.51;44.95
8;0.6;5.1;0.6;7.218;20.53;7.79
8;0.6;5.04;0.6;6.63;19.45;7.34
8;0.6;2.388;0.2;0.198;4.97;1.93
8;0.6;3.258;0.6;6.462;16.2;4.42
8;0.6;9.228;0.6;24.084;55.52;0.96
8;0.6;3.282;0.4;3.052;13.1;10.43
8;0.4;0.436;0.2;0.07;1.44;0
8;0.2;0;0.2;0.168;0.84;0.007
13;0.4;0.78;0.4;3.604;10.96;9
37;0.6;5.124;0.6;18.978;40.17;41.28
37;0.6;2.508;0.2;0.966;9.01;14.03
37;0.4;0.724;0.2;0.206;2.84;0
37;0.6;2.916;0.6;28.068;51.64;63.18
24;0.6;3.756;0.6;8.46;20.36;34.24
3;0.2;0.004;0.4;2.376;5.96;0.01
3;0.6;3.186;0.6;13.674;28.1;205.19
3;0.2;0.188;0.2;0.002;0.95;0.1
4;0.6;3.468;0.6;34.752;63.7;11.16
4;0.6;4.452;0.2;0.448;9.66;1.25
4;0.2;0;0.2;0.22;1.1;0.007
14;0.6;4.11;0.6;19.056;38.61;1.46
14;0.2;0;0.2;0.206;1.03;0
37;0.2;0;0.2;0.15;0.75;6.78
37;0.6;1.44;0.6;9.978;19.03;1.16
5;0.2;0;0.2;0.01;0.05;152.41
5;0.2;0;0.2;0.352;1.76;1.08
5;0.2;0;0.2;0.594;2.97;2.84
5;0.2;0;0.2;0.086;0.43;0
5;0.2;0;0.2;0.188;0.94;0.9
20;0.6;5.406;0.6;11.892;28.83;9.67
19;0.2;0;0.2;0.01;0.05;0
19;0.6;7.17;0.6;18.54;42.85;32.68
19;0.6;4.782;0.6;10.308;25.15;935.03
19;0.2;0;0.2;0.742;3.71;29.63
19;0.2;0.124;0.2;0.404;2.64;0.11
19;0.2;0;0.2;0.454;2.27;2.62
19;0.2;0;0.2;0;0;0
19;0.4;0.528;0.2;0;1.32;0.06
19;0.2;0;0.2;0.206;1.03;2.43
21;0.2;0;0.6;9.228;15.38;126.13
21;0.2;0;0.2;0.204;1.02;0
21;0.2;0;0.6;12.426;20.71;20.79
22;0.6;1.77;0.4;2.624;9.51;156.92
22;0.4;0.788;0.2;0.42;4.07;12.29
22;0.2;0;0.6;10.83;18.05;2.29
22;0.2;0;0.2;0.186;0.93;7.78
9;0.2;0;0.2;0.322;1.61;2.51
9;0.6;3.792;0.4;3.604;15.33;8.31
9;0.2;0;0.2;0.21;1.05;0.16
11;0.2;0;0.4;2.72;6.8;47.9
11;0.6;8.424;0.6;6.498;24.87;8.91
11;0.6;4.002;0.6;10.812;24.69;4.95
11;0.2;0;0.2;0;0;1.75
11;0.2;0;0.2;0.016;0.08;0.68
11;0.4;0.504;0.2;0.01;1.31;0
12;0.2;0;0.2;0.006;0.03;0.06
12;0.2;0;0.2;0.158;0.79;15.82
12;0.6;2.856;0.6;7.818;17.79;0.58
12;0.6;5.286;0.4;3.608;17.83;215.31
12;0.2;0;0.2;0.014;0.07;0
12;0.6;8.352;0.2;0.44;16.12;0.05
12;0.4;0.428;0.2;0;1.07;0
12;0.2;0;0.2;0.178;0.89;0
8;0.2;0;0.2;0.796;3.98;53.34
8;0.6;6;0.6;44.556;84.26;11.16
29;0.6;2.544;0.4;3.224;12.3;10.69
29;0.6;7.362;0.6;43.476;84.73;5.69
29;0.2;0;0.2;0.192;0.96;1.35
30;0.6;7.62;0.2;0.256;13.98;11.69
38;0.2;0;0.6;37.878;63.13;14.6
31;0.4;0.796;0.6;6.144;12.23;20.78
2;0.2;0.01;0.2;0.042;0.26;102.22
2;0.2;0;0.4;2.948;7.37;0.74
2;0.2;0;0.2;0.744;3.72;0
2;0.6;42.888;0.6;15.378;97.11;873.37
2;0.2;0;0.2;0;0;0
2;0.2;0.148;0.2;0.2;1.74;0
2;0.2;0;0.2;0.116;0.58;0
9;0.6;5.076;0.6;43.656;81.22;1.4
9;0.2;0.084;0.2;0.014;0.49;0.42
32;0.2;0.002;0.2;0.258;1.3;36.52
32;0.6;4.11;0.6;39.558;72.78;6.02
32;0.6;3.222;0.4;3.448;13.99;17.16
32;0.6;2.958;0.4;2.616;11.47;12.91
32;0.4;0.488;0.2;0.012;1.28;0
32;0.2;0;0.2;0.17;0.85;0
16;0.6;9.432;0.6;34.764;73.66;10.79
16;0.6;2.97;0.6;25.566;47.56;3.46
16;0.2;0;0.2;0.016;0.08;0.06
16;0.4;0.476;0.6;7.728;14.07;2.33
16;0.2;0;0.2;0.544;2.72;5.58
16;0.2;0;0.2;0.332;1.66;0.76
16;0.6;3.882;0.6;7.308;18.65;25.27
16;0.4;0.532;0.2;0;1.33;0.2
16;0.2;0;0.2;0.22;1.1;0
33;0.6;1.542;0.2;0.898;7.06;7.56
15;0.2;0;0.2;0.376;1.88;0
15;0.2;0.154;0.6;10.986;19.08;67.03
15;0.6;3.138;0.4;2.356;11.12;19.4
15;0.6;3.954;0.6;14.196;30.25;34.83
15;0.6;4.308;0.6;8.778;21.81;98.75
15;0.4;0.4;0.2;0;1;0.36
13;0.2;0;0.2;0.012;0.06;0
13;0.6;1.578;0.2;0.51;5.18;0
13;0.2;0;0.2;0.174;0.87;0
36;0.6;6.576;0.6;24.882;52.43;35.21
6;0.2;0;0.2;0.046;0.23;0
34;0.6;2.55;0.6;27.306;49.76;8.2
18;0.4;0.792;0.6;30.852;53.4;20.33
25;0.4;0.576;0.6;17.55;30.69;35.13
39;0.4;0.608;0.6;22.398;38.85;63.7
39;0.6;2.178;0.4;4.34;14.48;0.28
2;0.4;0.54;0.6;39.81;67.7;27.13
39;0.6;5.982;0.6;53.238;98.7;10.27
27;0.4;0.564;0.6;21.696;37.57;13.05
8;0.4;0.792;0.6;40.746;69.89;18.79
11;0.6;6.048;0.6;13.386;32.39;16.82
11;0.4;0.576;0.4;3.86;11.09;10.03
12;0.6;15.24;0.6;31.044;77.14;12.67
12;0.6;1.926;0.6;43.242;75.28;13.79
9;0.6;7.368;0.6;12.372;32.9;10.16
9;0.6;4.158;0.6;42.156;77.19;9.73
16;0.6;2.004;0.6;22.554;40.93;26.95
13;0.6;9.396;0.6;44.718;90.19;29.07
13;0.6;1.752;0.4;2.096;8.16;9.76
37;0.2;0.166;0.6;16.836;28.89;13.31
13;0.4;0.788;0.6;18.15;32.22;0.68
5;0.6;6;0.6;28.74;57.9;7.7
35;0.6;7.836;0.6;27.252;58.48;10.4
38;0.4;0.54;0.6;19.95;34.6;20.62
4;0.6;2.478;0.6;10.044;20.87;44.02
31;0.6;7.572;0.6;48.036;92.68;43.53
31;0.6;9.816;0.6;24.66;57.46;12.03
16;0.6;7.608;0.6;24.6;53.68;11.88
16;0.6;7.038;0.6;51.522;97.6;6.96
22;0.6;3.09;0.6;26.802;49.82;21.07
7;0.6;3.966;0.6;33.372;62.23;57.16
8;0.6;4.818;0.6;56.658;102.46;10.65
8;0.4;0.484;0.6;20.418;35.24;5.36
19;0.4;0.656;0.6;27.726;47.85;2.45
19;0.4;0.484;0.6;26.304;45.05;31.61
29;0.4;0.44;0.6;52.626;88.81;34.32
29;0.6;2.502;0.6;14.622;28.54;4.24
20;0.4;0.432;0.6;19.626;33.79;8.38
29;0.6;7.374;0.6;15.444;38.03;22.1
32;0.6;7.524;0.6;18.972;44.16;54.07
9;0.6;10.356;0.6;26.532;61.48;27.68
30;0.4;0.46;0.6;12.06;21.25;21.45
15;0.6;12.024;0.6;29.34;68.94;11.09
15;0.6;7.302;0.6;28.2;59.17;10.14
40;0.6;6.222;0.6;63.336;115.93;52.13
41;0.6;5.802;0.6;37.35;71.92;17.02
42;0.6;2.262;0.6;24.516;44.63;18
22;0.6;2.838;0.6;36.132;64.95;69.76
11;0.6;3.786;0.6;11.652;25.73;13.88
13;0.6;3.366;0.2;0.312;7.17;4.03
37;0.6;3.132;0.6;12.564;26.16;2.44
19;0.2;0.062;0.6;34.872;58.43;78.98
15;0.6;1.716;0.6;10.254;19.95;6.88
14;0.6;9.918;0.6;43.794;89.52;5.49
22;0.6;1.62;0.6;27.096;47.86;37.79
8;0.6;1.848;0.6;36.468;63.86;0.36
32;0.6;1.2;0.6;29.514;51.19;60.88
2;0.4;0.472;0.2;0;1.18;183.2
39;0.4;0.428;0.2;0;1.07;10.02
12;0.4;0.428;0.2;0;1.07;0
13;0.4;0.404;0.2;0;1.01;0
5;0.2;0.186;0.2;0;0.93;0
4;0.6;2.406;0.2;0;4.01;0
32;0.2;0.154;0.2;0;0.77;0.32
16;0.4;0.42;0.2;0;1.05;0
15;0.4;0.404;0.2;0;1.01;0.28
19;0.2;0.182;0.2;0;0.91;0
8;0.4;0.448;0.2;0;1.12;0
9;0.2;0.16;0.2;0;0.8;0.18
22;0.2;0.13;0.2;0;0.65;0
29;0.2;0.126;0.2;0;0.63;0
6;0.2;0.086;0.2;0;0.43;0
11;0.4;0.484;0.2;0;1.21;0
31;0.2;0.034;0.2;0;0.17;0
18;0.2;0;0.2;0;0;0
14;0.2;0;0.2;0;0;0
36;0.2;0.014;0.2;0;0.07;0
18;0.6;3.066;0.6;32.256;58.87;48.56
39;0.6;1.476;0.4;2.688;9.18;0
39;0.6;2.43;0.6;12.996;25.71;18.45
39;0.6;1.686;0.2;0.92;7.41;8.44
25;0.6;2.658;0.6;36.882;65.9;39.65
39;0.6;2.088;0.6;10.71;21.33;9.53
8;0.6;2.172;0.6;26.568;47.9;44.67
8;0.6;2.604;0.6;14.478;28.47;3.42
12;0.6;2.172;0.4;3.348;11.99;0
11;0.6;1.866;0.6;68.382;117.08;26.64
9;0.4;0.66;0.6;12.516;22.51;16.91
12;0.6;2.058;0.2;0.306;4.96;0
9;0.6;2.304;0.6;59.202;102.51;12.9
12;0.6;4.452;0.6;69.522;123.29;6.79
12;0.6;4.242;0.6;21.288;42.55;8.76
2;0.6;1.956;0.4;2.22;8.81;0.21
13;0.6;2.304;0.6;86.634;148.23;19.68
13;0.6;3.3;0.6;55.956;98.76;14.27
5;0.4;0.76;0.6;21.024;36.94;16.19
5;0.6;2.1;0.6;9.654;19.59;5.03
5;0.4;0.584;0.2;0.15;2.21;0.11
38;0.6;2.76;0.6;32.994;59.59;14.1
5;0.6;4.458;0.6;47.7;86.93;102.39
11;0.6;2.106;0.6;31.734;56.4;4.26
4;0.6;3.39;0.6;40.296;72.81;27.23
4;0.4;0.532;0.2;0.07;1.68;0
31;0.6;3.27;0.6;42.654;76.54;59.18
4;0.4;0.692;0.4;2.256;7.37;13.35
16;0.6;3.612;0.6;81.414;141.71;89.64
22;0.6;1.932;0.6;33.384;58.86;80.8
16;0.6;1.446;0.4;2.112;7.69;8.95
16;0.6;1.704;0.6;38.946;67.75;124.59
16;0.4;0.7;0.2;0.114;2.32;0
16;0.6;1.308;0.6;18.486;32.99;5.8
16;0.6;1.956;0.2;0.562;6.07;21.6
40;0.6;2.658;0.6;30.792;55.75;145.97
8;0.6;3.366;0.6;59.598;104.94;76.47
19;0.6;2.34;0.6;16.752;31.82;47.6
19;0.6;1.314;0.2;0.136;2.87;28.4
19;0.4;0.624;0.4;5.856;16.2;25.97
14;0.6;2.718;0.6;52.758;92.46;85.81
20;0.6;2.982;0.6;25.314;47.16;45.37
19;0.6;1.278;0.2;0.118;2.72;0.76
19;0.6;2.196;0.6;9.282;19.13;1.43
19;0.4;0.656;0.2;0.038;1.83;1.59
29;0.6;2.94;0.6;59.226;103.61;82.99
32;0.6;3.408;0.6;40.428;73.06;86.7
9;0.6;2.394;0.6;55.23;96.04;15.14
30;0.6;2.082;0.6;28.242;50.54;31.38
15;0.6;1.608;0.6;22.992;41;7.17
15;0.6;1.278;0.6;25.584;44.77;18.24
2;0.6;2.568;0.6;758.778;1268.91;58.86
1;0.6;2.616;0.6;20.346;38.27;6.06
2;0.6;1.338;0.2;0.908;6.77;22.8
12;0.6;1.2;0.2;0.064;2.32;5.37
7;0.6;1.824;0.6;40.422;70.41;77.47
22;0.4;0.476;0.6;73.242;123.26;15.2
1;0.4;0.54;0.2;0;1.35;680.14
1;0.4;0.456;0.2;0;1.14;0.71
6;0.4;0.604;0.2;0;1.51;0
8;0.4;0.452;0.2;0;1.13;0
5;0.4;0.6;0.2;0;1.5;1.44
9;0.2;0.192;0.2;0;0.96;0
12;0.4;0.64;0.2;0;1.6;0
16;0.4;0.536;0.2;0;1.34;0
19;0.4;0.64;0.2;0;1.6;0.06
11;0.4;0.452;0.2;0;1.13;0.02
4;0.2;0;0.2;0;0;0
9;0.2;0;0.2;0;0;0
12;0.2;0.154;0.2;0;0.77;4.6
12;0.4;0.42;0.2;0;1.05;0
19;0.2;0;0.2;0;0;0
22;0.2;0;0.2;0;0;30.85
16;0.2;0;0.2;0;0;0
15;0.2;0;0.2;0;0;0
15;0.2;0;0.2;0;0;0
32;0.2;0.168;0.2;0;0.84;8.21
13;0.2;0;0.2;0;0;0
19;0.2;0.17;0.2;0;0.85;0
5;0.2;0;0.2;0.056;0.28;0
6;0.2;0.122;0.2;0.014;0.68;0
8;0.2;0;0.2;0.124;0.62;0
18;0.6;2.058;0.4;0.4;4.43;49.31
11;0.4;0.652;0.6;3.516;7.49;3.69
1;0.6;2.25;0.4;0.5;5;11.25
8;0.6;1.374;0.6;1.584;4.93;3.08
6;0.6;1.506;0.6;5.154;11.1;16.03
16;0.6;1.326;0.6;3.126;7.42;3.43
12;0.6;1.332;0.6;3.738;8.45;0.89
9;0.4;0.668;0.2;0.078;2.06;1.43
13;0.6;1.554;0.2;0.132;3.25;1.28
22;0.6;1.434;0.6;4.632;10.11;5.42
32;0.6;2.052;0.6;6.33;13.97;6.96
27;0.6;2.166;0.6;1.278;5.74;5.41
4;0.4;0.744;0.6;2.706;6.37;7.27
19;0.4;0.76;0.6;4.782;9.87;8.6
14;0.6;1.974;0.6;3.846;9.7;3.66
15;0.6;1.56;0.4;0.456;3.74;8.76
8;0.6;2.286;0.6;6.912;15.33;3.25
9;0.6;1.26;0.6;3.036;7.16;5.41
5;0.6;1.332;0.6;2.04;5.62;26.28
31;0.2;0.192;0.2;0.024;1.08;0.22
38;0.2;0.162;0.6;2.76;5.41;1.82
8;0.4;0.5;0.2;0.004;1.27;0.82
12;0.4;0.66;0.2;0.004;1.67;27.99
18;0.4;0.66;0.2;0.004;1.67;2.47
19;0.6;1.278;0.2;0.022;2.24;7.54
28;0.2;0.088;0.2;0.004;0.46;27.1
28;0.4;0.524;0.2;0.024;1.43;0
12;0.2;0.078;0.2;0.028;0.53;0.58
19;0.4;0.4;0.4;0.44;2.1;0
12;0.2;0.084;0.2;0.054;0.69;0
6;0.4;0.428;0.2;0.118;1.66;0
28;0.4;0.516;0.2;0.05;1.54;0
5;0.2;0.004;0.2;0.174;0.89;0.04
6;0.4;0.584;0.2;0.11;2.01;0.67
19;0.2;0.168;0.2;0.012;0.9;0.72
8;0.2;0.132;0.4;0.548;2.03;0.84
8;0.2;0.106;0.6;3.24;5.93;0.72
6;0.2;0.078;0.2;0.094;0.86;0
19;0.2;0.102;0.2;0.094;0.98;0
12;0.2;0.094;0.2;0.058;0.76;0.07
35;0.6;2.01;0.2;0.198;4.34;0.12
28;0.2;0.064;0.2;0.098;0.81;6.73
28;0.2;0.102;0.2;0;0.51;0
4;0.2;0;0.2;0;0;0.05
9;0.2;0.062;0.2;0.138;1;0
32;0.2;0.122;0.4;0.616;2.15;0.57
5;0.2;0.052;0.2;0.034;0.43;0
2;0.2;0.146;0.2;0.01;0.78;6.14
2;0.2;0;0.2;0;0;0
16;0.4;0.508;0.4;0.404;2.28;1.15
19;0.4;0.648;0.2;0.098;2.11;0
5;0.4;0.616;0.2;0.092;2;0.57
2;0.6;1.308;0.2;0.186;3.11;0
2;0.6;4.554;0.4;0.588;9.06;36.29
2;0.2;0.152;0.2;0.068;1.1;0
16;0.2;0.076;0.2;0.17;1.23;0.04
5;0.4;0.516;0.2;0.026;1.42;0
19;0.4;0.796;0.2;0.126;2.62;0
31;0.2;0;0.2;0;0;0
4;0.2;0.004;0.2;0.01;0.07;0
5;0.2;0.028;0.2;0.016;0.22;0
18;0.2;0.018;0.2;0;0.09;0
9;0.2;0;0.2;0;0;0
32;0.2;0;0.2;0;0;0
16;0.2;0.002;0.2;0.0014;0.017;0
16;0.2;0.034;0.2;0.008;0.21;0
2;0.4;0.664;0.2;0.166;2.49;0.31
2;0.2;0.1;0.2;0.008;0.54;0
2;0.2;0.18;0.2;0.058;1.19;1.22
2;0.2;0;0.2;0;0;0.23
2;0.6;34.218;0.6;80.598;191.36;844.37
8;0.2;0.116;0.2;0;0.58;0
12;0.4;0.608;0.2;0;1.52;6.96
6;0.2;0.18;0.2;0;0.9;1.95
6;0.4;0.476;0.2;0;1.19;0
25;0.2;0.106;0.2;0;0.53;2.33
40;0.2;0.186;0.2;0;0.93;0.11
8;0.4;0.756;0.2;0;1.89;0
8;0.4;0.684;0.2;0;1.71;0.09
LOHARU;0.2;0.06;0.2;0;0.3;0
31;0.2;0.152;0.2;0;0.76;7.48
4;0.2;0.192;0.2;0;0.96;9.45
14;0.4;0.504;0.2;0;1.26;0
NUH;0.2;0.11;0.2;0;0.55;0.67
5;0.2;0.058;0.2;0;0.29;0.06
5;0.4;0.508;0.2;0;1.27;2.77
5;0.4;0.536;0.2;0;1.34;0
5;0.2;0.112;0.2;0;0.56;1.75
20;0.2;0.172;0.2;0;0.86;0
19;0.4;0.648;0.2;0;1.62;0
19;0.6;1.812;0.2;0;3.02;0
19;0.2;0.118;0.2;0;0.59;0
22;0.4;0.44;0.2;0;1.1;0
